year,state,county,candidate,party,votes,total_county_votes
2016,Texas,Lynn,Other,NA,60,2009
2016,Texas,McCulloch,Hillary Clinton,democrat,482,3103
2016,Texas,McCulloch,Donald Trump,republican,2552,3103
2016,Texas,McCulloch,Other,NA,69,3103
2016,Texas,McLennan,Hillary Clinton,democrat,27063,79075
2016,Texas,McLennan,Donald Trump,republican,48260,79075
2016,Texas,McLennan,Other,NA,3752,79075
2016,Texas,McMullen,Hillary Clinton,democrat,40,499
2016,Texas,McMullen,Donald Trump,republican,454,499
2016,Texas,McMullen,Other,NA,5,499
2016,Texas,Madison,Hillary Clinton,democrat,881,4289
2016,Texas,Madison,Donald Trump,republican,3351,4289
2016,Texas,Madison,Other,NA,57,4289
2016,Texas,Marion,Hillary Clinton,democrat,1165,4238
2016,Texas,Marion,Donald Trump,republican,2983,4238
2016,Texas,Marion,Other,NA,90,4238
2016,Texas,Martin,Hillary Clinton,democrat,266,1762
2016,Texas,Martin,Donald Trump,republican,1455,1762
2016,Texas,Martin,Other,NA,41,1762
2016,Texas,Mason,Hillary Clinton,democrat,354,2057
2016,Texas,Mason,Donald Trump,republican,1656,2057
2016,Texas,Mason,Other,NA,47,2057
2016,Texas,Matagorda,Hillary Clinton,democrat,3500,12196
2016,Texas,Matagorda,Donald Trump,republican,8366,12196
2016,Texas,Matagorda,Other,NA,330,12196
2016,Texas,Maverick,Hillary Clinton,democrat,10397,13588
2016,Texas,Maverick,Donald Trump,republican,2816,13588
2016,Texas,Maverick,Other,NA,375,13588
2016,Texas,Medina,Hillary Clinton,democrat,4634,17246
2016,Texas,Medina,Donald Trump,republican,12085,17246
2016,Texas,Medina,Other,NA,527,17246
2016,Texas,Menard,Hillary Clinton,democrat,154,864
2016,Texas,Menard,Donald Trump,republican,682,864
2016,Texas,Menard,Other,NA,28,864
2016,Texas,Midland,Hillary Clinton,democrat,10025,49212
2016,Texas,Midland,Donald Trump,republican,36973,49212
2016,Texas,Midland,Other,NA,2214,49212
2016,Texas,Milam,Hillary Clinton,democrat,2051,8664
2016,Texas,Milam,Donald Trump,republican,6364,8664
2016,Texas,Milam,Other,NA,249,8664
2016,Texas,Mills,Hillary Clinton,democrat,243,2245
2016,Texas,Mills,Donald Trump,republican,1951,2245
2016,Texas,Mills,Other,NA,51,2245
2016,Texas,Mitchell,Hillary Clinton,democrat,354,2196
2016,Texas,Mitchell,Donald Trump,republican,1780,2196
2016,Texas,Mitchell,Other,NA,62,2196
2016,Texas,Montague,Hillary Clinton,democrat,885,8604
2016,Texas,Montague,Donald Trump,republican,7526,8604
2016,Texas,Montague,Other,NA,193,8604
2016,Texas,Montgomery,Hillary Clinton,democrat,45835,204632
2016,Texas,Montgomery,Donald Trump,republican,150314,204632
2016,Texas,Montgomery,Other,NA,8483,204632
2016,Texas,Moore,Hillary Clinton,democrat,1098,5284
2016,Texas,Moore,Donald Trump,republican,3977,5284
2016,Texas,Moore,Other,NA,209,5284
2016,Texas,Morris,Hillary Clinton,democrat,1425,4973
2016,Texas,Morris,Donald Trump,republican,3446,4973
2016,Texas,Morris,Other,NA,102,4973
2016,Texas,Motley,Hillary Clinton,democrat,40,615
2016,Texas,Motley,Donald Trump,republican,566,615
2016,Texas,Motley,Other,NA,9,615
2016,Texas,Nacogdoches,Hillary Clinton,democrat,6846,22622
2016,Texas,Nacogdoches,Donald Trump,republican,14771,22622
2016,Texas,Nacogdoches,Other,NA,1005,22622
2016,Texas,Navarro,Hillary Clinton,democrat,4002,16433
2016,Texas,Navarro,Donald Trump,republican,11994,16433
2016,Texas,Navarro,Other,NA,437,16433
2016,Texas,Newton,Hillary Clinton,democrat,1156,5534
2016,Texas,Newton,Donald Trump,republican,4288,5534
2016,Texas,Newton,Other,NA,90,5534
2016,Texas,Nolan,Hillary Clinton,democrat,1029,4857
2016,Texas,Nolan,Donald Trump,republican,3552,4857
2016,Texas,Nolan,Other,NA,276,4857
2016,Texas,Nueces,Hillary Clinton,democrat,49198,104405
2016,Texas,Nueces,Donald Trump,republican,50766,104405
2016,Texas,Nueces,Other,NA,4441,104405
2016,Texas,Ochiltree,Hillary Clinton,democrat,274,3002
2016,Texas,Ochiltree,Donald Trump,republican,2628,3002
2016,Texas,Ochiltree,Other,NA,100,3002
2016,Texas,Oldham,Hillary Clinton,democrat,78,948
2016,Texas,Oldham,Donald Trump,republican,850,948
2016,Texas,Oldham,Other,NA,20,948
2016,Texas,Orange,Hillary Clinton,democrat,5735,32000
2016,Texas,Orange,Donald Trump,republican,25513,32000
2016,Texas,Orange,Other,NA,752,32000
2016,Texas,Palo Pinto,Hillary Clinton,democrat,1708,10270
2016,Texas,Palo Pinto,Donald Trump,republican,8284,10270
2016,Texas,Palo Pinto,Other,NA,278,10270
2016,Texas,Panola,Hillary Clinton,democrat,1835,10416
2016,Texas,Panola,Donald Trump,republican,8445,10416
2016,Texas,Panola,Other,NA,136,10416
2016,Texas,Parker,Hillary Clinton,democrat,8344,56817
2016,Texas,Parker,Donald Trump,republican,46473,56817
2016,Texas,Parker,Other,NA,2000,56817
2016,Texas,Parmer,Hillary Clinton,democrat,485,2466
2016,Texas,Parmer,Donald Trump,republican,1915,2466
2016,Texas,Parmer,Other,NA,66,2466
2016,Texas,Pecos,Hillary Clinton,democrat,1554,4185
2016,Texas,Pecos,Donald Trump,republican,2468,4185
2016,Texas,Pecos,Other,NA,163,4185
2016,Texas,Polk,Hillary Clinton,democrat,4187,19852
2016,Texas,Polk,Donald Trump,republican,15176,19852
2016,Texas,Polk,Other,NA,489,19852
2016,Texas,Potter,Hillary Clinton,democrat,7657,28651
2016,Texas,Potter,Donald Trump,republican,19630,28651
2016,Texas,Potter,Other,NA,1364,28651
2016,Texas,Presidio,Hillary Clinton,democrat,1458,2208
2016,Texas,Presidio,Donald Trump,republican,652,2208
2016,Texas,Presidio,Other,NA,98,2208
2016,Texas,Rains,Hillary Clinton,democrat,628,4701
2016,Texas,Rains,Donald Trump,republican,3968,4701
2016,Texas,Rains,Other,NA,105,4701
2016,Texas,Randall,Hillary Clinton,democrat,8367,54305
2016,Texas,Randall,Donald Trump,republican,43462,54305
2016,Texas,Randall,Other,NA,2476,54305
2016,Texas,Reagan,Hillary Clinton,democrat,167,904
2016,Texas,Reagan,Donald Trump,republican,709,904
2016,Texas,Reagan,Other,NA,28,904
2016,Texas,Real,Hillary Clinton,democrat,262,1681
2016,Texas,Real,Donald Trump,republican,1382,1681
2016,Texas,Real,Other,NA,37,1681
2016,Texas,Red River,Hillary Clinton,democrat,1149,5161
2016,Texas,Red River,Donald Trump,republican,3926,5161
2016,Texas,Red River,Other,NA,86,5161
2016,Texas,Reeves,Hillary Clinton,democrat,1659,3184
2016,Texas,Reeves,Donald Trump,republican,1417,3184
2016,Texas,Reeves,Other,NA,108,3184
2016,Texas,Refugio,Hillary Clinton,democrat,1034,2948
2016,Texas,Refugio,Donald Trump,republican,1830,2948
2016,Texas,Refugio,Other,NA,84,2948
2016,Texas,Roberts,Hillary Clinton,democrat,20,554
2016,Texas,Roberts,Donald Trump,republican,524,554
2016,Texas,Roberts,Other,NA,10,554
2016,Texas,Robertson,Hillary Clinton,democrat,2203,7035
2016,Texas,Robertson,Donald Trump,republican,4668,7035
2016,Texas,Robertson,Other,NA,164,7035
2016,Texas,Rockwall,Hillary Clinton,democrat,9655,39948
2016,Texas,Rockwall,Donald Trump,republican,28451,39948
2016,Texas,Rockwall,Other,NA,1842,39948
2016,Texas,Runnels,Hillary Clinton,democrat,453,3782
2016,Texas,Runnels,Donald Trump,republican,3250,3782
2016,Texas,Runnels,Other,NA,79,3782
2016,Texas,Rusk,Hillary Clinton,democrat,3935,18994
2016,Texas,Rusk,Donald Trump,republican,14675,18994
2016,Texas,Rusk,Other,NA,384,18994
2016,Texas,Sabine,Hillary Clinton,democrat,614,4651
2016,Texas,Sabine,Donald Trump,republican,3998,4651
2016,Texas,Sabine,Other,NA,39,4651
2016,Texas,San Augustine,Hillary Clinton,democrat,910,3569
2016,Texas,San Augustine,Donald Trump,republican,2622,3569
2016,Texas,San Augustine,Other,NA,37,3569
2016,Texas,San Jacinto,Hillary Clinton,democrat,2038,10343
2016,Texas,San Jacinto,Donald Trump,republican,8059,10343
2016,Texas,San Jacinto,Other,NA,246,10343
2016,Texas,San Patricio,Hillary Clinton,democrat,7871,21656
2016,Texas,San Patricio,Donald Trump,republican,13030,21656
2016,Texas,San Patricio,Other,NA,755,21656
2016,Texas,San Saba,Hillary Clinton,democrat,293,2357
2016,Texas,San Saba,Donald Trump,republican,2025,2357
2016,Texas,San Saba,Other,NA,39,2357
2016,Texas,Schleicher,Hillary Clinton,democrat,208,1059
2016,Texas,Schleicher,Donald Trump,republican,821,1059
2016,Texas,Schleicher,Other,NA,30,1059
2016,Texas,Scurry,Hillary Clinton,democrat,733,5289
2016,Texas,Scurry,Donald Trump,republican,4410,5289
2016,Texas,Scurry,Other,NA,146,5289
2016,Texas,Shackelford,Hillary Clinton,democrat,103,1504
2016,Texas,Shackelford,Donald Trump,republican,1378,1504
2016,Texas,Shackelford,Other,NA,23,1504
2016,Texas,Shelby,Hillary Clinton,democrat,1758,9086
2016,Texas,Shelby,Donald Trump,republican,7179,9086
2016,Texas,Shelby,Other,NA,149,9086
2016,Texas,Sherman,Hillary Clinton,democrat,96,935
2016,Texas,Sherman,Donald Trump,republican,807,935
2016,Texas,Sherman,Other,NA,32,935
2016,Texas,Smith,Hillary Clinton,democrat,22300,84768
2016,Texas,Smith,Donald Trump,republican,58930,84768
2016,Texas,Smith,Other,NA,3538,84768
2016,Texas,Somervell,Hillary Clinton,democrat,541,3897
2016,Texas,Somervell,Donald Trump,republican,3206,3897
2016,Texas,Somervell,Other,NA,150,3897
2016,Texas,Starr,Hillary Clinton,democrat,9289,11740
2016,Texas,Starr,Donald Trump,republican,2224,11740
2016,Texas,Starr,Other,NA,227,11740
2016,Texas,Stephens,Hillary Clinton,democrat,348,3461
2016,Texas,Stephens,Donald Trump,republican,3034,3461
2016,Texas,Stephens,Other,NA,79,3461
2016,Texas,Sterling,Hillary Clinton,democrat,70,633
2016,Texas,Sterling,Donald Trump,republican,549,633
2016,Texas,Sterling,Other,NA,14,633
2016,Texas,Stonewall,Hillary Clinton,democrat,135,701
2016,Texas,Stonewall,Donald Trump,republican,555,701
2016,Texas,Stonewall,Other,NA,11,701
2016,Texas,Sutton,Hillary Clinton,democrat,313,1416
2016,Texas,Sutton,Donald Trump,republican,1075,1416
2016,Texas,Sutton,Other,NA,28,1416
2016,Texas,Swisher,Hillary Clinton,democrat,462,2204
2016,Texas,Swisher,Donald Trump,republican,1671,2204
2016,Texas,Swisher,Other,NA,71,2204
2016,Texas,Tarrant,Hillary Clinton,democrat,288392,668514
2016,Texas,Tarrant,Donald Trump,republican,345921,668514
2016,Texas,Tarrant,Other,NA,34201,668514
2016,Texas,Taylor,Hillary Clinton,democrat,10085,45759
2016,Texas,Taylor,Donald Trump,republican,33250,45759
2016,Texas,Taylor,Other,NA,2424,45759
2016,Texas,Terrell,Hillary Clinton,democrat,140,438
2016,Texas,Terrell,Donald Trump,republican,288,438
2016,Texas,Terrell,Other,NA,10,438
2016,Texas,Terry,Hillary Clinton,democrat,753,3355
2016,Texas,Terry,Donald Trump,republican,2459,3355
2016,Texas,Terry,Other,NA,143,3355
2016,Texas,Throckmorton,Hillary Clinton,democrat,84,808
2016,Texas,Throckmorton,Donald Trump,republican,715,808
2016,Texas,Throckmorton,Other,NA,9,808
2016,Texas,Titus,Hillary Clinton,democrat,2597,9419
2016,Texas,Titus,Donald Trump,republican,6511,9419
2016,Texas,Titus,Other,NA,311,9419
2016,Texas,Tom Green,Hillary Clinton,democrat,9173,38479
2016,Texas,Tom Green,Donald Trump,republican,27494,38479
2016,Texas,Tom Green,Other,NA,1812,38479
2016,Texas,Travis,Hillary Clinton,democrat,308260,468720
2016,Texas,Travis,Donald Trump,republican,127209,468720
2016,Texas,Travis,Other,NA,33251,468720
2016,Texas,Trinity,Hillary Clinton,democrat,1154,5985
2016,Texas,Trinity,Donald Trump,republican,4737,5985
2016,Texas,Trinity,Other,NA,94,5985
2016,Texas,Tyler,Hillary Clinton,democrat,1248,8016
2016,Texas,Tyler,Donald Trump,republican,6624,8016
2016,Texas,Tyler,Other,NA,144,8016
2016,Texas,Upshur,Hillary Clinton,democrat,2380,16013
2016,Texas,Upshur,Donald Trump,republican,13209,16013
2016,Texas,Upshur,Other,NA,424,16013
2016,Texas,Upton,Hillary Clinton,democrat,286,1347
2016,Texas,Upton,Donald Trump,republican,1007,1347
2016,Texas,Upton,Other,NA,54,1347
2016,Texas,Uvalde,Hillary Clinton,democrat,3867,8964
2016,Texas,Uvalde,Donald Trump,republican,4835,8964
2016,Texas,Uvalde,Other,NA,262,8964
2016,Texas,Val Verde,Hillary Clinton,democrat,6964,13617
2016,Texas,Val Verde,Donald Trump,republican,5890,13617
2016,Texas,Val Verde,Other,NA,763,13617
2016,Texas,Van Zandt,Hillary Clinton,democrat,2799,21890
2016,Texas,Van Zandt,Donald Trump,republican,18473,21890
2016,Texas,Van Zandt,Other,NA,618,21890
2016,Texas,Victoria,Hillary Clinton,democrat,8866,31123
2016,Texas,Victoria,Donald Trump,republican,21275,31123
2016,Texas,Victoria,Other,NA,982,31123
2016,Texas,Walker,Hillary Clinton,democrat,6091,19796
2016,Texas,Walker,Donald Trump,republican,12884,19796
2016,Texas,Walker,Other,NA,821,19796
2016,Texas,Waller,Hillary Clinton,democrat,5748,16784
2016,Texas,Waller,Donald Trump,republican,10531,16784
2016,Texas,Waller,Other,NA,505,16784
2016,Texas,Ward,Hillary Clinton,democrat,783,3445
2016,Texas,Ward,Donald Trump,republican,2547,3445
2016,Texas,Ward,Other,NA,115,3445
2016,Texas,Washington,Hillary Clinton,democrat,3382,14828
2016,Texas,Washington,Donald Trump,republican,10945,14828
2016,Texas,Washington,Other,NA,501,14828
2016,Texas,Webb,Hillary Clinton,democrat,42307,56905
2016,Texas,Webb,Donald Trump,republican,12947,56905
2016,Texas,Webb,Other,NA,1651,56905
2016,Texas,Wharton,Hillary Clinton,democrat,4238,14732
2016,Texas,Wharton,Donald Trump,republican,10149,14732
2016,Texas,Wharton,Other,NA,345,14732
2016,Texas,Wheeler,Hillary Clinton,democrat,194,2306
2016,Texas,Wheeler,Donald Trump,republican,2087,2306
2016,Texas,Wheeler,Other,NA,25,2306
2016,Texas,Wichita,Hillary Clinton,democrat,8770,38119
2016,Texas,Wichita,Donald Trump,republican,27631,38119
2016,Texas,Wichita,Other,NA,1718,38119
2016,Texas,Wilbarger,Hillary Clinton,democrat,809,4105
2016,Texas,Wilbarger,Donald Trump,republican,3166,4105
2016,Texas,Wilbarger,Other,NA,130,4105
2016,Texas,Willacy,Hillary Clinton,democrat,3422,5095
2016,Texas,Willacy,Donald Trump,republican,1547,5095
2016,Texas,Willacy,Other,NA,126,5095
2016,Texas,Williamson,Hillary Clinton,democrat,84468,203081
2016,Texas,Williamson,Donald Trump,republican,104175,203081
2016,Texas,Williamson,Other,NA,14438,203081
2016,Texas,Wilson,Hillary Clinton,democrat,4790,19432
2016,Texas,Wilson,Donald Trump,republican,13998,19432
2016,Texas,Wilson,Other,NA,644,19432
2016,Texas,Winkler,Hillary Clinton,democrat,420,1876
2016,Texas,Winkler,Donald Trump,republican,1403,1876
2016,Texas,Winkler,Other,NA,53,1876
2016,Texas,Wise,Hillary Clinton,democrat,3412,24776
2016,Texas,Wise,Donald Trump,republican,20670,24776
2016,Texas,Wise,Other,NA,694,24776
2016,Texas,Wood,Hillary Clinton,democrat,2630,18727
2016,Texas,Wood,Donald Trump,republican,15700,18727
2016,Texas,Wood,Other,NA,397,18727
2016,Texas,Yoakum,Hillary Clinton,democrat,426,2303
2016,Texas,Yoakum,Donald Trump,republican,1797,2303
2016,Texas,Yoakum,Other,NA,80,2303
2016,Texas,Young,Hillary Clinton,democrat,876,7707
2016,Texas,Young,Donald Trump,republican,6601,7707
2016,Texas,Young,Other,NA,230,7707
2016,Texas,Zapata,Hillary Clinton,democrat,2063,3142
2016,Texas,Zapata,Donald Trump,republican,1029,3142
2016,Texas,Zapata,Other,NA,50,3142
2016,Texas,Zavala,Hillary Clinton,democrat,2636,3396
2016,Texas,Zavala,Donald Trump,republican,694,3396
2016,Texas,Zavala,Other,NA,66,3396
2016,Utah,Beaver,Hillary Clinton,democrat,264,2491
2016,Utah,Beaver,Donald Trump,republican,1838,2491
2016,Utah,Beaver,Other,NA,389,2491
2016,Utah,Box Elder,Hillary Clinton,democrat,2282,19735
2016,Utah,Box Elder,Donald Trump,republican,12230,19735
2016,Utah,Box Elder,Other,NA,5223,19735
2016,Utah,Cache,Hillary Clinton,democrat,8563,46157
2016,Utah,Cache,Donald Trump,republican,21139,46157
2016,Utah,Cache,Other,NA,16455,46157
2016,Utah,Carbon,Hillary Clinton,democrat,1717,7952
2016,Utah,Carbon,Donald Trump,republican,5275,7952
2016,Utah,Carbon,Other,NA,960,7952
2016,Utah,Daggett,Hillary Clinton,democrat,77,474
2016,Utah,Daggett,Donald Trump,republican,331,474
2016,Utah,Daggett,Other,NA,66,474
2016,Utah,Davis,Hillary Clinton,democrat,28776,138411
2016,Utah,Davis,Donald Trump,republican,62219,138411
2016,Utah,Davis,Other,NA,47416,138411
2016,Utah,Duchesne,Hillary Clinton,democrat,500,6942
2016,Utah,Duchesne,Donald Trump,republican,5508,6942
2016,Utah,Duchesne,Other,NA,934,6942
2016,Utah,Emery,Hillary Clinton,democrat,380,4289
2016,Utah,Emery,Donald Trump,republican,3425,4289
2016,Utah,Emery,Other,NA,484,4289
2016,Utah,Garfield,Hillary Clinton,democrat,358,2344
2016,Utah,Garfield,Donald Trump,republican,1606,2344
2016,Utah,Garfield,Other,NA,380,2344
2016,Utah,Grand,Hillary Clinton,democrat,1960,4533
2016,Utah,Grand,Donald Trump,republican,1975,4533
2016,Utah,Grand,Other,NA,598,4533
2016,Utah,Iron,Hillary Clinton,democrat,2450,17654
2016,Utah,Iron,Donald Trump,republican,11561,17654
2016,Utah,Iron,Other,NA,3643,17654
2016,Utah,Juab,Hillary Clinton,democrat,442,4177
2016,Utah,Juab,Donald Trump,republican,2827,4177
2016,Utah,Juab,Other,NA,908,4177
2016,Utah,Kane,Hillary Clinton,democrat,741,3505
2016,Utah,Kane,Donald Trump,republican,2265,3505
2016,Utah,Kane,Other,NA,499,3505
2016,Utah,Millard,Hillary Clinton,democrat,431,5242
2016,Utah,Millard,Donald Trump,republican,3860,5242
2016,Utah,Millard,Other,NA,951,5242
2016,Utah,Morgan,Hillary Clinton,democrat,577,5192
2016,Utah,Morgan,Donald Trump,republican,3188,5192
2016,Utah,Morgan,Other,NA,1427,5192
2016,Utah,Piute,Hillary Clinton,democrat,47,729
2016,Utah,Piute,Donald Trump,republican,626,729
2016,Utah,Piute,Other,NA,56,729
2016,Utah,Rich,Hillary Clinton,democrat,104,1109
2016,Utah,Rich,Donald Trump,republican,797,1109
2016,Utah,Rich,Other,NA,208,1109
2016,Utah,Salt Lake,Hillary Clinton,democrat,175863,418868
2016,Utah,Salt Lake,Donald Trump,republican,138043,418868
2016,Utah,Salt Lake,Other,NA,104962,418868
2016,Utah,San Juan,Hillary Clinton,democrat,2042,5447
2016,Utah,San Juan,Donald Trump,republican,2645,5447
2016,Utah,San Juan,Other,NA,760,5447
2016,Utah,Sanpete,Hillary Clinton,democrat,1061,10164
2016,Utah,Sanpete,Donald Trump,republican,6673,10164
2016,Utah,Sanpete,Other,NA,2430,10164
2016,Utah,Sevier,Hillary Clinton,democrat,695,8654
2016,Utah,Sevier,Donald Trump,republican,6740,8654
2016,Utah,Sevier,Other,NA,1219,8654
2016,Utah,Summit,Hillary Clinton,democrat,10503,20641
2016,Utah,Summit,Donald Trump,republican,7333,20641
2016,Utah,Summit,Other,NA,2805,20641
2016,Utah,Tooele,Hillary Clinton,democrat,4573,21829
2016,Utah,Tooele,Donald Trump,republican,11169,21829
2016,Utah,Tooele,Other,NA,6087,21829
2016,Utah,Uintah,Hillary Clinton,democrat,995,12797
2016,Utah,Uintah,Donald Trump,republican,9810,12797
2016,Utah,Uintah,Other,NA,1992,12797
2016,Utah,Utah,Hillary Clinton,democrat,28522,201551
2016,Utah,Utah,Donald Trump,republican,102182,201551
2016,Utah,Utah,Other,NA,70847,201551
2016,Utah,Wasatch,Hillary Clinton,democrat,3063,12120
2016,Utah,Wasatch,Donald Trump,republican,6115,12120
2016,Utah,Wasatch,Other,NA,2942,12120
2016,Utah,Washington,Hillary Clinton,democrat,10288,61963
2016,Utah,Washington,Donald Trump,republican,42650,61963
2016,Utah,Washington,Other,NA,9025,61963
2016,Utah,Wayne,Hillary Clinton,democrat,271,1421
2016,Utah,Wayne,Donald Trump,republican,966,1421
2016,Utah,Wayne,Other,NA,184,1421
2016,Utah,Weber,Hillary Clinton,democrat,23131,85039
2016,Utah,Weber,Donald Trump,republican,40235,85039
2016,Utah,Weber,Other,NA,21673,85039
2016,Vermont,Addison,Hillary Clinton,democrat,11219,19031
2016,Vermont,Addison,Donald Trump,republican,5297,19031
2016,Vermont,Addison,Other,NA,2515,19031
2016,Vermont,Bennington,Hillary Clinton,democrat,9539,17381
2016,Vermont,Bennington,Donald Trump,republican,5925,17381
2016,Vermont,Bennington,Other,NA,1917,17381
2016,Vermont,Caledonia,Hillary Clinton,democrat,6445,14075
2016,Vermont,Caledonia,Donald Trump,republican,5534,14075
2016,Vermont,Caledonia,Other,NA,2096,14075
2016,Vermont,Chittenden,Hillary Clinton,democrat,54814,83418
2016,Vermont,Chittenden,Donald Trump,republican,18601,83418
2016,Vermont,Chittenden,Other,NA,10003,83418
2016,Vermont,Essex,Hillary Clinton,democrat,1019,2925
2016,Vermont,Essex,Donald Trump,republican,1506,2925
2016,Vermont,Essex,Other,NA,400,2925
2016,Vermont,Franklin,Hillary Clinton,democrat,9351,21411
2016,Vermont,Franklin,Donald Trump,republican,8752,21411
2016,Vermont,Franklin,Other,NA,3308,21411
2016,Vermont,Grand Isle,Hillary Clinton,democrat,2094,4110
2016,Vermont,Grand Isle,Donald Trump,republican,1487,4110
2016,Vermont,Grand Isle,Other,NA,529,4110
2016,Vermont,Lamoille,Hillary Clinton,democrat,7241,12762
2016,Vermont,Lamoille,Donald Trump,republican,3570,12762
2016,Vermont,Lamoille,Other,NA,1951,12762
2016,Vermont,Orange,Hillary Clinton,democrat,7541,14649
2016,Vermont,Orange,Donald Trump,republican,5007,14649
2016,Vermont,Orange,Other,NA,2101,14649
2016,Vermont,Orleans,Hillary Clinton,democrat,5185,12047
2016,Vermont,Orleans,Donald Trump,republican,5159,12047
2016,Vermont,Orleans,Other,NA,1703,12047
2016,Vermont,Rutland,Hillary Clinton,democrat,13635,29619
2016,Vermont,Rutland,Donald Trump,republican,12479,29619
2016,Vermont,Rutland,Other,NA,3505,29619
2016,Vermont,Washington,Hillary Clinton,democrat,18594,31086
2016,Vermont,Washington,Donald Trump,republican,7993,31086
2016,Vermont,Washington,Other,NA,4499,31086
2016,Vermont,Windham,Hillary Clinton,democrat,14340,22635
2016,Vermont,Windham,Donald Trump,republican,5454,22635
2016,Vermont,Windham,Other,NA,2841,22635
2016,Vermont,Windsor,Hillary Clinton,democrat,17556,29928
2016,Vermont,Windsor,Donald Trump,republican,8605,29928
2016,Vermont,Windsor,Other,NA,3767,29928
2016,Virginia,Accomack,Hillary Clinton,democrat,6740,15818
2016,Virginia,Accomack,Donald Trump,republican,8583,15818
2016,Virginia,Accomack,Other,NA,495,15818
2016,Virginia,Albemarle,Hillary Clinton,democrat,33345,56726
2016,Virginia,Albemarle,Donald Trump,republican,19259,56726
2016,Virginia,Albemarle,Other,NA,4122,56726
2016,Virginia,Alleghany,Hillary Clinton,democrat,2166,7325
2016,Virginia,Alleghany,Donald Trump,republican,4874,7325
2016,Virginia,Alleghany,Other,NA,285,7325
2016,Virginia,Amelia,Hillary Clinton,democrat,2128,7040
2016,Virginia,Amelia,Donald Trump,republican,4708,7040
2016,Virginia,Amelia,Other,NA,204,7040
2016,Virginia,Amherst,Hillary Clinton,democrat,5057,15396
2016,Virginia,Amherst,Donald Trump,republican,9719,15396
2016,Virginia,Amherst,Other,NA,620,15396
2016,Virginia,Appomattox,Hillary Clinton,democrat,2023,8011
2016,Virginia,Appomattox,Donald Trump,republican,5715,8011
2016,Virginia,Appomattox,Other,NA,273,8011
2016,Virginia,Arlington,Hillary Clinton,democrat,92016,121356
2016,Virginia,Arlington,Donald Trump,republican,20186,121356
2016,Virginia,Arlington,Other,NA,9154,121356
2016,Virginia,Augusta,Hillary Clinton,democrat,8177,36343
2016,Virginia,Augusta,Donald Trump,republican,26163,36343
2016,Virginia,Augusta,Other,NA,2003,36343
2016,Virginia,Bath,Hillary Clinton,democrat,603,2253
2016,Virginia,Bath,Donald Trump,republican,1548,2253
2016,Virginia,Bath,Other,NA,102,2253
2016,Virginia,Bedford,Hillary Clinton,democrat,9768,42525
2016,Virginia,Bedford,Donald Trump,republican,30659,42525
2016,Virginia,Bedford,Other,NA,2098,42525
2016,Virginia,Bland,Hillary Clinton,democrat,453,3139
2016,Virginia,Bland,Donald Trump,republican,2573,3139
2016,Virginia,Bland,Other,NA,113,3139
2016,Virginia,Botetourt,Hillary Clinton,democrat,4494,18739
2016,Virginia,Botetourt,Donald Trump,republican,13375,18739
2016,Virginia,Botetourt,Other,NA,870,18739
2016,Virginia,Brunswick,Hillary Clinton,democrat,4481,7669
2016,Virginia,Brunswick,Donald Trump,republican,3046,7669
2016,Virginia,Brunswick,Other,NA,142,7669
2016,Virginia,Buchanan,Hillary Clinton,democrat,1721,9247
2016,Virginia,Buchanan,Donald Trump,republican,7296,9247
2016,Virginia,Buchanan,Other,NA,230,9247
2016,Virginia,Buckingham,Hillary Clinton,democrat,3128,7295
2016,Virginia,Buckingham,Donald Trump,republican,3950,7295
2016,Virginia,Buckingham,Other,NA,217,7295
2016,Virginia,Campbell,Hillary Clinton,democrat,6664,27535
2016,Virginia,Campbell,Donald Trump,republican,19551,27535
2016,Virginia,Campbell,Other,NA,1320,27535
2016,Virginia,Caroline,Hillary Clinton,democrat,6432,14863
2016,Virginia,Caroline,Donald Trump,republican,7147,14863
2016,Virginia,Caroline,Other,NA,1284,14863
2016,Virginia,Carroll,Hillary Clinton,democrat,2559,13668
2016,Virginia,Carroll,Donald Trump,republican,10663,13668
2016,Virginia,Carroll,Other,NA,446,13668
2016,Virginia,Charles City,Hillary Clinton,democrat,2496,4107
2016,Virginia,Charles City,Donald Trump,republican,1476,4107
2016,Virginia,Charles City,Other,NA,135,4107
2016,Virginia,Charlotte,Hillary Clinton,democrat,2155,5808
2016,Virginia,Charlotte,Donald Trump,republican,3479,5808
2016,Virginia,Charlotte,Other,NA,174,5808
2016,Virginia,Chesterfield,Hillary Clinton,democrat,81074,176461
2016,Virginia,Chesterfield,Donald Trump,republican,85045,176461
2016,Virginia,Chesterfield,Other,NA,10342,176461
2016,Virginia,Clarke,Hillary Clinton,democrat,3051,8213
2016,Virginia,Clarke,Donald Trump,republican,4661,8213
2016,Virginia,Clarke,Other,NA,501,8213
2016,Virginia,Craig,Hillary Clinton,democrat,541,2794
2016,Virginia,Craig,Donald Trump,republican,2140,2794
2016,Virginia,Craig,Other,NA,113,2794
2016,Virginia,Culpeper,Hillary Clinton,democrat,7759,22218
2016,Virginia,Culpeper,Donald Trump,republican,13349,22218
2016,Virginia,Culpeper,Other,NA,1110,22218
2016,Virginia,Cumberland,Hillary Clinton,democrat,2036,4906
2016,Virginia,Cumberland,Donald Trump,republican,2697,4906
2016,Virginia,Cumberland,Other,NA,173,4906
2016,Virginia,Dickenson,Hillary Clinton,democrat,1335,6440
